k,insPar,filter,mem_size,time,steps
10,5,500000,15,37.291000,2845
10,5,1000000,15,37.036000,2845
10,6,10000,15,1.099000,3711
10,6,50000,15,29.915000,3377
10,6,100000,15,35.404000,3150
10,6,500000,15,34.522000,3079
10,6,1000000,15,33.310000,3079
10,7,10000,15,0.965000,3711
10,7,50000,15,31.722000,3794
10,7,100000,15,35.677000,3667
10,7,500000,15,34.116000,3619
10,7,1000000,15,34.972000,3619
10,8,10000,15,1.124000,3711
10,8,50000,15,30.734000,3675
10,8,100000,15,32.887000,3571
10,8,500000,15,32.979000,3571
10,8,1000000,15,31.947000,3571
10,9,10000,15,2.062000,3711
10,9,50000,15,25.634000,3538
10,9,100000,15,27.360000,3508
10,9,500000,15,26.897000,3472
10,9,1000000,15,26.869000,3472
10,10,10000,15,2.224000,3719
10,10,50000,15,31.666000,3566
10,10,100000,15,30.578000,3520
10,10,500000,15,30.196000,3520
10,10,1000000,15,30.051000,3520
10,1,10000,20,1.111000,3711
10,1,50000,20,1.011000,3711
10,1,100000,20,15.324000,3700
10,1,500000,20,2.895000,69
10,1,1000000,20,2.555000,54
10,2,10000,20,1.241000,3711
10,2,50000,20,6.120000,3737
10,2,100000,20,20.465000,2236
10,2,500000,20,5.834000,305
10,2,1000000,20,6.071000,305
10,3,10000,20,1.053000,3711
10,3,50000,20,19.051000,3373
10,3,100000,20,13.757000,1350
10,3,500000,20,12.638000,954
10,3,1000000,20,11.870000,954
10,4,10000,20,1.039000,3711
10,4,50000,20,18.235000,3141
10,4,100000,20,21.572000,1896
10,4,500000,20,14.898000,1392
10,4,1000000,20,14.822000,1392
10,5,10000,20,1.041000,3711
10,5,50000,20,20.216000,2886
10,5,100000,20,17.711000,1844
10,5,500000,20,18.165000,1762
10,5,1000000,20,18.288000,1762
10,6,10000,20,1.017000,3711
10,6,50000,20,14.819000,2398
10,6,100000,20,18.244000,2074
10,6,500000,20,17.464000,2042
10,6,1000000,20,19.290000,2042
10,7,10000,20,1.012000,3711
10,7,50000,20,19.282000,2876
10,7,100000,20,19.883000,2599
10,7,500000,20,21.807000,2599
10,7,1000000,20,21.530000,2599
10,8,10000,20,1.038000,3711
10,8,50000,20,22.424000,3009
10,8,100000,20,19.051000,2648
10,8,500000,20,19.475000,2648
10,8,1000000,20,18.942000,2648
10,9,10000,20,2.402000,3711
10,9,50000,20,15.444000,2864
10,9,100000,20,16.697000,2743
10,9,500000,20,17.149000,2743
10,9,1000000,20,16.896000,2743
10,10,10000,20,2.206000,3719
10,10,50000,20,22.888000,3068
10,10,100000,20,22.740000,3022
10,10,500000,20,22.921000,3022
10,10,1000000,20,22.895000,3022
15,1,10000,15,1.262000,3711
15,1,50000,15,1.024000,3711
15,1,100000,15,1.811000,3748
15,1,500000,15,431.623000,20853
15,1,1000000,15,530.041000,25972
15,2,10000,15,0.985000,3711
15,2,50000,15,0.996000,3711
