MEMs for Pattern 1
============================================

MEMs for Pattern 2
============================================

MEMs for Pattern 3
============================================
MEM (start=558, end=575, len=17)
MEM (start=573, end=584, len=11)
MEM (start=584, end=602, len=18)
MEM (start=594, end=604, len=10)
MEM (start=636, end=646, len=10)
MEM (start=646, end=656, len=10)
MEM (start=652, end=663, len=11)
MEM (start=653, end=664, len=11)
MEM (start=682, end=695, len=13)
MEM (start=694, end=706, len=12)
MEM (start=700, end=710, len=10)
MEM (start=708, end=718, len=10)
MEM (start=721, end=732, len=11)
MEM (start=723, end=733, len=10)
MEM (start=760, end=770, len=10)
MEM (start=784, end=795, len=11)
MEM (start=788, end=799, len=11)
MEM (start=796, end=806, len=10)
MEM (start=802, end=812, len=10)
MEM (start=808, end=818, len=10)
MEM (start=809, end=822, len=13)
MEM (start=811, end=823, len=12)
MEM (start=824, end=851, len=27)
MEM (start=875, end=886, len=11)
MEM (start=878, end=888, len=10)
MEM (start=879, end=889, len=10)
MEM (start=908, end=918, len=10)
MEM (start=939, end=958, len=19)
MEM (start=958, end=968, len=10)
MEM (start=961, end=972, len=11)
MEM (start=963, end=973, len=10)
MEM (start=977, end=987, len=10)
MEM (start=978, end=1000, len=22)

MEMs for Pattern 7
============================================
MEM (start=9, end=25, len=16)
MEM (start=15, end=26, len=11)
MEM (start=44, end=55, len=11)
MEM (start=46, end=76, len=30)
MEM (start=56, end=87, len=31)
MEM (start=77, end=89, len=12)
MEM (start=85, end=95, len=10)
MEM (start=87, end=98, len=11)
MEM (start=95, end=106, len=11)
MEM (start=108, end=123, len=15)
MEM (start=131, end=141, len=10)
MEM (start=132, end=158, len=26)
MEM (start=153, end=163, len=10)
MEM (start=168, end=178, len=10)
MEM (start=171, end=190, len=19)
MEM (start=196, end=208, len=12)
MEM (start=204, end=215, len=11)
MEM (start=209, end=220, len=11)
MEM (start=249, end=260, len=11)
MEM (start=258, end=268, len=10)
MEM (start=268, end=279, len=11)
MEM (start=273, end=296, len=23)
MEM (start=312, end=324, len=12)
MEM (start=317, end=335, len=18)
MEM (start=322, end=337, len=15)
MEM (start=347, end=363, len=16)
MEM (start=371, end=383, len=12)
MEM (start=384, end=395, len=11)
MEM (start=400, end=411, len=11)
MEM (start=409, end=420, len=11)
MEM (start=412, end=422, len=10)
MEM (start=428, end=438, len=10)
MEM (start=430, end=449, len=19)
MEM (start=453, end=463, len=10)
MEM (start=460, end=470, len=10)
MEM (start=462, end=472, len=10)
MEM (start=477, end=489, len=12)
MEM (start=502, end=512, len=10)
MEM (start=503, end=515, len=12)
MEM (start=504, end=516, len=12)
MEM (start=513, end=523, len=10)
MEM (start=514, end=524, len=10)
MEM (start=520, end=532, len=12)
MEM (start=526, end=536, len=10)
MEM (start=529, end=539, len=10)
MEM (start=546, end=556, len=10)
MEM (start=550, end=561, len=11)
MEM (start=566, end=577, len=11)
MEM (start=568, end=578, len=10)
MEM (start=576, end=587, len=11)
MEM (start=584, end=595, len=11)
MEM (start=598, end=608, len=10)
MEM (start=646, end=656, len=10)
MEM (start=661, end=671, len=10)
MEM (start=672, end=684, len=12)
MEM (start=690, end=701, len=11)
MEM (start=696, end=706, len=10)
MEM (start=697, end=714, len=17)
MEM (start=706, end=716, len=10)
MEM (start=707, end=721, len=14)
MEM (start=718, end=728, len=10)
MEM (start=728, end=738, len=10)
MEM (start=729, end=739, len=10)
MEM (start=732, end=746, len=14)
MEM (start=747, end=759, len=12)
MEM (start=753, end=764, len=11)
MEM (start=760, end=770, len=10)
MEM (start=766, end=777, len=11)
MEM (start=768, end=782, len=14)
MEM (start=774, end=784, len=10)
MEM (start=779, end=789, len=10)
MEM (start=781, end=805, len=24)
MEM (start=830, end=841, len=11)
MEM (start=834, end=844, len=10)
MEM (start=838, end=849, len=11)
MEM (start=841, end=858, len=17)
MEM (start=870, end=880, len=10)
MEM (start=883, end=895, len=12)
MEM (start=886, end=896, len=10)
MEM (start=889, end=899, len=10)
MEM (start=896, end=908, len=12)
MEM (start=904, end=914, len=10)
MEM (start=922, end=939, len=17)
MEM (start=940, end=952, len=12)
MEM (start=953, end=969, len=16)
MEM (start=964, end=974, len=10)
MEM (start=981, end=991, len=10)

MEMs for Pattern 8
============================================
MEM (start=15, end=30, len=15)
MEM (start=42, end=53, len=11)
MEM (start=57, end=68, len=11)
MEM (start=58, end=71, len=13)
MEM (start=64, end=74, len=10)
MEM (start=65, end=75, len=10)
MEM (start=71, end=82, len=11)
MEM (start=105, end=120, len=15)
MEM (start=119, end=129, len=10)
MEM (start=134, end=145, len=11)
MEM (start=136, end=146, len=10)
MEM (start=139, end=149, len=10)
MEM (start=141, end=151, len=10)
MEM (start=142, end=183, len=41)
MEM (start=184, end=210, len=26)
MEM (start=206, end=216, len=10)
MEM (start=217, end=239, len=22)
MEM (start=234, end=244, len=10)
MEM (start=240, end=250, len=10)
MEM (start=249, end=259, len=10)
MEM (start=250, end=261, len=11)
MEM (start=259, end=269, len=10)
MEM (start=276, end=286, len=10)
MEM (start=284, end=304, len=20)
MEM (start=301, end=313, len=12)
MEM (start=303, end=314, len=11)
MEM (start=305, end=321, len=16)
MEM (start=320, end=331, len=11)
MEM (start=322, end=338, len=16)
MEM (start=335, end=345, len=10)
MEM (start=340, end=351, len=11)
MEM (start=359, end=369, len=10)
MEM (start=367, end=377, len=10)
MEM (start=368, end=383, len=15)
MEM (start=377, end=387, len=10)
MEM (start=383, end=393, len=10)
MEM (start=388, end=403, len=15)
MEM (start=403, end=413, len=10)
MEM (start=430, end=442, len=12)
MEM (start=433, end=443, len=10)
MEM (start=464, end=474, len=10)
MEM (start=525, end=535, len=10)
MEM (start=527, end=538, len=11)
MEM (start=548, end=560, len=12)
MEM (start=566, end=576, len=10)
MEM (start=573, end=584, len=11)
MEM (start=578, end=588, len=10)
MEM (start=615, end=627, len=12)
MEM (start=636, end=652, len=16)
MEM (start=652, end=662, len=10)
MEM (start=659, end=669, len=10)
MEM (start=664, end=674, len=10)
MEM (start=674, end=684, len=10)
MEM (start=678, end=695, len=17)
MEM (start=692, end=703, len=11)
MEM (start=704, end=714, len=10)
MEM (start=706, end=716, len=10)
MEM (start=722, end=733, len=11)
MEM (start=725, end=736, len=11)
MEM (start=726, end=737, len=11)
MEM (start=732, end=742, len=10)
MEM (start=744, end=754, len=10)
MEM (start=749, end=760, len=11)
MEM (start=787, end=797, len=10)
MEM (start=795, end=805, len=10)
MEM (start=805, end=815, len=10)
MEM (start=820, end=839, len=19)
MEM (start=840, end=853, len=13)
MEM (start=850, end=860, len=10)
MEM (start=854, end=870, len=16)
MEM (start=862, end=872, len=10)
MEM (start=863, end=875, len=12)
MEM (start=875, end=891, len=16)
MEM (start=882, end=892, len=10)
MEM (start=901, end=911, len=10)
MEM (start=904, end=914, len=10)
MEM (start=914, end=925, len=11)
MEM (start=916, end=927, len=11)
MEM (start=923, end=934, len=11)
MEM (start=950, end=961, len=11)
MEM (start=951, end=965, len=14)
MEM (start=953, end=969, len=16)
MEM (start=970, end=981, len=11)

MEMs for Pattern 9
============================================
MEM (start=13, end=29, len=16)
MEM (start=18, end=30, len=12)
MEM (start=39, end=49, len=10)
MEM (start=41, end=55, len=14)
MEM (start=49, end=60, len=11)
MEM (start=55, end=65, len=10)
MEM (start=56, end=84, len=28)
MEM (start=74, end=85, len=11)
MEM (start=81, end=91, len=10)
MEM (start=88, end=107, len=19)
MEM (start=104, end=115, len=11)
MEM (start=125, end=135, len=10)
MEM (start=126, end=137, len=11)
MEM (start=135, end=145, len=10)
MEM (start=138, end=154, len=16)
MEM (start=150, end=161, len=11)
MEM (start=168, end=178, len=10)
MEM (start=183, end=193, len=10)
MEM (start=202, end=212, len=10)
MEM (start=205, end=215, len=10)
MEM (start=206, end=217, len=11)
MEM (start=214, end=225, len=11)
MEM (start=218, end=228, len=10)
MEM (start=237, end=247, len=10)
MEM (start=259, end=270, len=11)
MEM (start=268, end=278, len=10)
MEM (start=278, end=306, len=28)
MEM (start=308, end=320, len=12)
MEM (start=311, end=321, len=10)
MEM (start=324, end=334, len=10)
MEM (start=330, end=340, len=10)
MEM (start=331, end=341, len=10)
MEM (start=336, end=354, len=18)
MEM (start=350, end=360, len=10)
MEM (start=356, end=366, len=10)
MEM (start=361, end=383, len=22)
MEM (start=384, end=396, len=12)
MEM (start=390, end=401, len=11)
MEM (start=404, end=414, len=10)
MEM (start=433, end=444, len=11)
MEM (start=439, end=450, len=11)
MEM (start=453, end=463, len=10)
MEM (start=454, end=464, len=10)
MEM (start=470, end=480, len=10)
MEM (start=472, end=496, len=24)
MEM (start=503, end=533, len=30)
MEM (start=525, end=536, len=11)
MEM (start=528, end=539, len=11)
MEM (start=533, end=543, len=10)
MEM (start=545, end=556, len=11)
MEM (start=567, end=579, len=12)
MEM (start=578, end=588, len=10)
MEM (start=580, end=592, len=12)
MEM (start=588, end=601, len=13)
MEM (start=600, end=610, len=10)
MEM (start=614, end=625, len=11)
MEM (start=619, end=630, len=11)
MEM (start=628, end=650, len=22)
MEM (start=665, end=675, len=10)
MEM (start=681, end=705, len=24)
MEM (start=706, end=716, len=10)
MEM (start=717, end=731, len=14)
MEM (start=745, end=756, len=11)
MEM (start=747, end=758, len=11)
MEM (start=756, end=766, len=10)
MEM (start=775, end=796, len=21)
MEM (start=808, end=818, len=10)
MEM (start=813, end=826, len=13)
MEM (start=832, end=843, len=11)
MEM (start=844, end=859, len=15)
MEM (start=866, end=876, len=10)
MEM (start=875, end=889, len=14)
MEM (start=880, end=890, len=10)
MEM (start=881, end=899, len=18)
MEM (start=900, end=910, len=10)
MEM (start=911, end=926, len=15)
MEM (start=931, end=941, len=10)
MEM (start=935, end=945, len=10)
MEM (start=948, end=958, len=10)
MEM (start=950, end=961, len=11)
MEM (start=974, end=984, len=10)
MEM (start=984, end=994, len=10)

MEMs for Pattern 10
============================================
MEM (start=11, end=21, len=10)
MEM (start=19, end=29, len=10)
MEM (start=22, end=35, len=13)
MEM (start=29, end=40, len=11)
MEM (start=42, end=53, len=11)
MEM (start=61, end=71, len=10)
MEM (start=66, end=76, len=10)
MEM (start=89, end=111, len=22)
MEM (start=121, end=131, len=10)
MEM (start=123, end=133, len=10)
MEM (start=132, end=149, len=17)
MEM (start=150, end=165, len=15)
MEM (start=171, end=182, len=11)
MEM (start=190, end=200, len=10)
MEM (start=194, end=205, len=11)
MEM (start=224, end=234, len=10)
MEM (start=231, end=243, len=12)
MEM (start=247, end=257, len=10)
MEM (start=251, end=262, len=11)
MEM (start=259, end=269, len=10)
MEM (start=260, end=271, len=11)
MEM (start=295, end=305, len=10)
MEM (start=322, end=334, len=12)
MEM (start=325, end=335, len=10)
MEM (start=344, end=354, len=10)
MEM (start=369, end=379, len=10)
MEM (start=376, end=386, len=10)
MEM (start=389, end=400, len=11)
MEM (start=409, end=419, len=10)
MEM (start=410, end=421, len=11)
MEM (start=413, end=423, len=10)
MEM (start=415, end=429, len=14)
MEM (start=431, end=441, len=10)
MEM (start=435, end=447, len=12)
MEM (start=451, end=468, len=17)
MEM (start=459, end=469, len=10)
MEM (start=478, end=498, len=20)
MEM (start=507, end=517, len=10)
MEM (start=530, end=541, len=11)
MEM (start=570, end=581, len=11)
